Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
AIM,06/02/2006,01/02/2006,2006,IPO,,BODISEN BIOTECH INC,New Company Placing,USA,1357,Chemicals,Specialty Chemicals,730,,129.68,Charles Stanley Securities,12,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,06/02/2006,01/02/2006,2006,IPO,,CHARIOT(UK),New Company Placing,United Kingdom,5752,Travel & Leisure,Gambling,115,,18.36,Noble & Company Limited,9.6,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,02/02/2006,01/02/2006,2006,IPO,,B.P.MARSH & PARTNERS,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,140,,41,Nabarro Wells & Co. Limited,13.03,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,01/02/2006,01/02/2006,2006,IPO,,XCOUNTER AB,New Company Placing,Sweden,4535,Health Care Equipment & Services,Medical Equipment,155,,38.03,Nomura Code Securities Limited,16.26,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,01/02/2006,01/02/2006,2006,IPO,,INTERCYTEX GROUP,New Company Placing,United Kingdom,4573,Pharmaceuticals & Biotechnology,Biotechnology,108,,50.5,Piper Jaffray Ltd,5.33,-,-,,,,,,,,,,,,,,,,,,,,,,,
PSM,31/01/2006,01/01/2006,2006,IPO,,FEDERAL BANK,International Offering (GDR),India,8355,Banks,Banks,3.97,,45.73,,45.73,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,31/01/2006,01/01/2006,2006,IPO,,CLAIMAR CARE GROUP,New Company Placing,United Kingdom,4533,Health Care Equipment & Services,Health Care Providers,72,,16.07,Arden Partners Limited,8.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,31/01/2006,01/01/2006,2006,IPO,,DOWNING PROTECTED VCT IV,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,2.82,,2.82,-,-,,,,,,,,,,,,,,,,,,,,,,,
PSM,26/01/2006,01/01/2006,2006,IPO,,BANCO DE ORO UNIVERSAL BANK,International Offering (GDR),Philippines,8355,Banks,Banks,12.7,,57.6,,57.6,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,26/01/2006,01/01/2006,2006,IPO,,MATRIX INCOME & GROWTH 3 VCT,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,3.23,,3.23,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,25/01/2006,01/01/2006,2006,IPO,,CLOSE IHT AIM VCT,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,11.26,,11.26,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/01/2006,01/01/2006,2006,IPO,,AMTEUS,New Company Placing,United Kingdom,9578,Technology Hardware & Equipment,Telecommunications Equipment,55,,18.96,John East & Partners Limited,4,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,12/01/2006,01/01/2006,2006,IPO,,GREENHOUSE FUND,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,10,,12.52,Evolution Securities Limited,9.8,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,12/01/2006,01/01/2006,2006,IPO,,CORE VCT II,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,9.19,,9.19,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,06/01/2006,01/01/2006,2006,IPO,,ACP CAPITAL,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,100,,64.19,Colins Stewart Europe Limited,50,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,05/01/2006,01/01/2006,2006,IPO,,EKAY,New Company Placing,United Kingdom,5555,Media,Media Agencies,21.5,,7.96,Shore Capital & Corporate Limited,0.14,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,04/01/2006,01/01/2006,2006,IPO,,APPIAN TECHNOLOGY,New Company Placing,United Kingdom,2737,Electronic & Electrical Equipment,Electronic Equipment,5,,5.57,John East & Partners Limited,2.08,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,04/01/2006,01/01/2006,2006,IPO,,STRATEX INTERNATIONAL,New Company Placing,United Kingdom,1775,Mining,General Mining,5,,6.87,HB – Corporate,1.87,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,30/12/2005,01/12/2005,2005,IPO,,REENERGY GROUP,New Company Placing,United Kingdom,584,Support Services,Environmental Control,75,,28.01,Strand Partners Limited,6.54,-,-,,,,,,,,,,,,,,,,,,,,,,,
