Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
29/01/1970,UNISYS CORPORATION,Technology,Technology,United States,North America,MAIN MARKET ,Yes,-
29/06/2007,UNITED BANK LIMITED,Financials,Banks,Pakistan,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
10/11/2015,UNITED OIL & GAS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,7.54
28/07/2008,UNITED UTILITIES GROUP PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,"7,228.02"
11/04/2000,UNITE GROUP PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"3,840.90"
16/12/2005,UNIVISION ENGINEERING LIMITED,Industrials,Industrial Goods and Services,Hong Kong,Asia,AIM ,Yes,0.86
01/03/2017,UP GLOBAL SOURCING HOLDINGS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,126.82
26/10/2015,UPLAND RESOURCES LIMITED,Energy,Energy,Jersey,Europe,MAIN MARKET ,No,6.06
23/12/2021,UPL LIMITED,Basic Materials,Chemicals,India,Asia,ADMISSION TO TRADING ONLY ,Yes,-
02/03/2022,URA HOLDINGS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,2.48
13/04/2016,URBAN LOGISTICS REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,604.13
12/09/2007,URU METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,2.47
16/04/2019,US SOLAR FUND PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,427.15
03/04/2018,UTILICO EMERGING MARKETS TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,438.8
26/09/2019,"VAALCO ENERGY, INC.",Energy,Energy,United States,North America,MAIN MARKET ,Yes,399.33
03/10/2006,VALIRX PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,11
14/07/1981,VALUE AND INDEXED PROPERTY INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,87.96
26/10/2016,VAN ELLE HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,49.07
