Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
International Main Market,2021-07-01,2021-07-01,2021,IPO,GTCO,GUARANTY TRUST HOLDING COMPANY PLC,International Offering (GDR),,Nigeria,30101010.0,Banks,Banks,,USD,0.0,,0.0,0,0,3.4000000953674316,3.4000000953674316,3.4000000953674316,2.9476242065429688,75000.0,2.999641180038452,2.9129459857940674,2.6151669025421143,2.5098578929901123,2.8535656929016113,,,
AIM,2021-06-28,2021-06-01,2021,IPO,ITIM,ITIM GROUP PLC,New Company Placing,,United Kingdom,,,,154.0,GBX,48.844599955,W.H. Ireland Limited,8.00000124,0,8.00000124,156.5,158.0,150.5,156.5,93392.0,156.0,117.0,126.0,115.5,115.0,,,
AIM,2021-06-28,2021-06-01,2021,IPO,SBDS,SILVER BULLET DATA SERVICES GROUP PLC,New Company Placing,,United Kingdom,50205020.0,Industrial Support Services,Professional Business Support Services,257.0,GBX,34.8893532,Strand Hanson Limited,9.49999986,0,9.49999986,260.0,279.0,270.0,275.0,64711.0,300.0,262.0,256.5,225.0,95.0,,,
AIM,2021-06-22,2021-06-01,2021,IPO,SMD,"SPECTRAL MD HOLDINGS, LTD",New Company Placing,,United States,,,,59.0,GBX,84.36777968,SP Angel Corporate Finance LLP,11.25000023,0,11.25000023,62.0,64.33699798583984,60.0,62.0,909267.0,60.5,49.0,44.0,38.5,0.35499998927116394,,,
AIM,2021-06-22,2021-06-01,2021,IPO,VIC,VICTORIAN PLUMBING GROUP PLC,New Company Placing,,United Kingdom,40401025.0,Retailers ,Home Improvement Retailers,262.0,GBX,986.25954224,"GCA Altium Limited
",11.60000022,285.90000156,297.50000178,304.0,330.0,266.0,323.9677429199219,13370458.0,289.6075439453125,265.06451416015625,255.247314453125,101.11720275878906,56.84161376953125,,,
UK Main Market,2021-06-21,2021-06-01,2021,IPO,MADE,MADE.COM GROUP PLC,New Company Placing,,United Kingdom,40202015.0,Household Goods and Home Construction,Household Furnishings,200.0,GBX,771.831410416,,100.0,93.830088,193.830088,,,,,,,,,,,,,
AIM,2021-06-04,2021-06-01,2021,IPO,ART,THE ARTISANAL SPIRITS COMPANY PLC,New Company Placing,,United Kingdom,45101015.0,Beverages,Distillers and Vintners,112.0,GBX,81.78678445,Nplus1 Singer Advisory LLP,15.00000096,11.00000384,26.0000048,117.5,120.0,115.0,117.5,660526.0,107.5,109.0,80.5,100.0,75.0,,,
AIM,2021-06-03,2021-06-01,2021,IPO,AREC,ARECOR THERAPEUTICS PLC,New Company Placing,,United Kingdom,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,226.0,GBX,65.7483885,Panmure Gordon (UK) Limited,20.00000108,0,20.00000108,237.5,258.0,238.0,242.0,140478.0,240.5,237.5,231.0,410.0,380.0,,,
UK Main Market,2021-06-03,2021-06-01,2021,IPO,CDL,IMPERIAL X PLC,New Company Placing,,United Kingdom,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,3.0,GBX,19.478253,,2.00000001,0,2.00000001,5.0,5.800000190734863,4.5,4.5,890273.0,3.700000047683716,2.950000047683716,2.075000047683716,1.5,2.799999952316284,,,
UK Main Market,2021-06-02,2021-06-01,2021,IPO,AEET,AQUILA ENERGY EFFICIENCY TRUST PLC,New Company Placing,,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,102.0,,100.0,0,100,102.0,103.55999755859375,99.84700012207031,96.85784912109375,123000.0,95.9035873413086,91.13227081298828,91.84796142578125,93.51792907714844,75.62545776367188,,,
